id,verification_status,owner_id,created_by,customer_id,property_type,property_category,district_id,municipal_id,province_id,city,seeking_address,property_face,build_date,layout,property_area,area_unit,parking_space,car_parking,bike_parking,compound,road_size,road_type,minimum_budget,minimum_budget_unit,maximum_budget,maximum_budget_unit,delete,status,agreement_image,created_at,updated_at,property_remarks,address_remarks,ward_num,map_url,amenities,share_map_url,verification_note
28,pending,3,3,173,HOUSE,RESIDENTIAL,38,,,,Fulbari /Parsyang/Malepatan,,,1R,1,HAAT,NO,,,,,,1,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T09:28:18.000Z,2024-08-20T09:28:18.000Z,,,,,,,
29,pending,3,3,172,HOUSE,RESIDENTIAL,38,,,,"Puranodhara ,Matepani,Bhadrakali",,,1R,18/00000,HAAT,YES,,,,,,170,LAKHS,180,LAKHS,1,ACTIVE,,2024-08-20T09:29:47.000Z,2024-08-20T09:29:47.000Z,,,,,,,
30,pending,3,3,36,HOUSE,,,,,,Parsyang Malepatan Fulbari Masbar/Bulaudi/himal dekhini,,,WHOLE_HOUSE,0,HAAT,YES,2,,,,,140,CRORE,150,CRORE,1,ACTIVE,,2024-08-20T09:31:41.000Z,2024-08-20T09:31:41.000Z,,,,,,,
31,pending,3,3,170,HOUSE,RESIDENTIAL,38,224,4,Pokhara,Mahendra pul,,,1R,1,HAAT,YES,,,,,,2,CRORE,3,CRORE,1,ACTIVE,,2024-08-20T09:36:30.000Z,2025-03-23T07:55:32.000Z,,,8,,,,
32,pending,3,3,168,HOUSE,,38,,,,Fulbari /ranipauwa,,,1R,1,HAAT,NO,,,,,,60,LAKHS,70,LAKHS,1,ACTIVE,,2024-08-20T09:39:17.000Z,2024-08-20T09:39:17.000Z,,,,,,,
33,pending,3,3,167,HOUSE,,38,,,,akha hospital oripari/gharipatan,,,1R,5,HAAT,NO,,,,,,80,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-20T09:41:28.000Z,2024-08-20T09:41:28.000Z,,,,,,,
34,pending,3,3,166,HOUSE,,,,,,Begnastal/Sishuwa naharchok oripari,,,1R,5,AANA,NO,,,,,,90,LAKHS,1,CRORE,1,ACTIVE,,2024-08-20T09:42:49.000Z,2024-08-20T09:42:49.000Z,,,,,,,
35,pending,3,3,165,HOUSE,,38,,,,lekhnath,,,1R,1,HAAT,,,,,,,1,CRORE,1.5,CRORE,1,ACTIVE,,2024-08-20T09:44:41.000Z,2024-08-20T09:44:41.000Z,,,,,,,
36,pending,3,3,164,HOUSE,RESIDENTIAL,38,,,,pokhara,,,1R,s,HAAT,,,,,,,85,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-20T09:45:30.000Z,2024-08-20T09:45:30.000Z,,,,,,,
38,pending,3,3,161,SHOP,,,,,,pokhara,,,1R,1,HAAT,NO,,,,,,1,LAKHS,1,LAKHS,1,ACTIVE,,2024-08-20T09:48:30.000Z,2024-08-20T09:48:30.000Z,,,,,,,
39,pending,3,3,160,HOUSE,,,,,,Batulechaur,,,1R,1,HAAT,,,,,,,2,CRORE,2.5,CRORE,1,ACTIVE,,2024-08-20T09:57:26.000Z,2024-08-20T09:57:26.000Z,,,,,,,
40,pending,3,3,56,HOUSE,,,,,,lekhnath,,,1R,1,HAAT,,,,,,,130,CRORE,140,CRORE,1,ACTIVE,,2024-08-20T09:58:46.000Z,2024-08-20T09:58:46.000Z,,,,,,,
41,pending,3,3,159,HOUSE,,,,,,Begnastal/MAchhapalan Agadi,,,1R,1,HAAT,,,,,,,80,LAKHS,1,CRORE,1,ACTIVE,,2024-08-20T09:59:45.000Z,2024-08-20T09:59:45.000Z,,,,,,,
42,pending,3,3,158,HOUSE,,38,,,,Parsyang MAlepatan Fulbari bagar Ranipauwa,,,1R,1,HAAT,,,,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T10:01:12.000Z,2024-08-20T10:01:12.000Z,,,,,,,
43,pending,3,3,157,HOUSE,,38,,,,Fulbari /Parsyang/Ranipauwa,,,1R,1,HAAT,,,,,,,2,CRORE,2.5,CRORE,1,ACTIVE,,2024-08-20T10:02:07.000Z,2024-08-20T10:02:07.000Z,,,,,,,
44,pending,3,3,156,HOUSE,,,,,,kajipokhari/Chindanda/Syanipatan,,,1R,1,HAAT,,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-20T10:08:56.000Z,2024-08-20T10:08:56.000Z,,,,,,,
45,pending,3,3,155,HOUSE,,,,,,Fulbari /ranipauwa,,,1R,1,HAAT,YES,,,,,,150,CRORE,160,CRORE,1,ACTIVE,,2024-08-20T10:10:27.000Z,2024-08-20T10:10:27.000Z,,,,,,,
46,pending,3,3,352,LAND,RESIDENTIAL,38,,,,Chauthe/Ranipauwa/Nadipur/Parsyang/Srijanachowk,,,,3.5,ROPANI,,,,,20,,4,CRORE,5,CRORE,1,ACTIVE,,2024-08-25T06:42:57.000Z,2024-08-25T06:42:57.000Z,,,,,,,
47,pending,3,3,353,LAND,RESIDENTIAL,38,,,,chauthe Bp marga,,,,20/40,HAAT,,,,,,,80,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-25T06:43:48.000Z,2024-08-25T06:43:48.000Z,,,,,,,
48,pending,3,3,173,LAND,,38,,,,Malepatan parsyang,,,,20/40,HAAT,,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-25T06:45:22.000Z,2024-08-25T06:45:22.000Z,,,,,,,
49,pending,3,3,355,LAND,RESIDENTIAL,38,,,,fulbari/CTEVT/Ranipauwa,,,,1-1.5,ROPANI,,,,,,,2,CRORE,3,CRORE,1,ACTIVE,,2024-08-25T06:46:57.000Z,2024-08-25T06:46:57.000Z,,,,,,,
50,pending,3,3,47,LAND,RESIDENTIAL,38,224,4,Pokhara,fulbari/CTEVT/Ranipauwa,,,,20/40,HAAT,,,,,,,90,LAKHS,1,CRORE,1,ACTIVE,,2024-08-25T06:48:03.000Z,2025-06-06T08:53:28.000Z,,,11,,9846449167,,
51,pending,3,3,391,LAND,RESIDENTIAL,38,,,,Chauthe/Fulbari/Budibajar,,,,18\40,HAAT,,,,,,,60,LAKHS,70,LAKHS,1,ACTIVE,,2024-08-25T06:50:44.000Z,2024-08-25T06:50:44.000Z,,,,,,,
52,pending,3,3,356,LAND,RESIDENTIAL,38,,,,Amarsingh/Ranipauwa/Sitaldevi,,,,24/55,HAAT,,,,,,,1.8,CRORE,2,CRORE,1,ACTIVE,,2024-08-25T06:51:56.000Z,2024-08-25T06:51:56.000Z,,,,,,,
53,pending,3,3,357,LAND,,,,,,newroad nayabajar,,,,0,HAAT,,,,,,,3,CRORE,4,CRORE,1,ACTIVE,,2024-08-25T06:52:41.000Z,2024-08-25T06:52:41.000Z,,,,,,,
54,pending,3,3,357,LAND,,,,,,Chauthe/Mahatgauda/Xindanda,,,,20,ROPANI,,,,,,,0,CRORE,0,CRORE,1,ACTIVE,,2024-08-25T06:53:48.000Z,2024-08-25T06:53:48.000Z,,,,,,,
55,pending,3,3,357,LAND,,,,,,hallanchowk/Barahichowk,,,,20/40,HAAT,,,,,,,0,LAKHS,0,CRORE,1,ACTIVE,,2024-08-25T06:54:52.000Z,2024-08-25T06:54:52.000Z,,,,,,,
56,pending,3,3,358,LAND,,,,,,hallanchowk/Barahichowk,,,,21/40,HAAT,,,,,,,2,CRORE,3,CRORE,1,ACTIVE,,2024-08-25T06:55:32.000Z,2024-08-25T06:55:32.000Z,,,,,,,
57,pending,3,3,359,LAND,,,,,,chauthe Bp chowk/Bajhapatan,,,,21/40,HAAT,,,,,,,80,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-25T06:56:29.000Z,2024-08-25T06:56:29.000Z,,,,,,,
58,pending,3,3,360,LAND,,,,,,lekhnath/chauthe,,,,0,HAAT,,,,,,,30,LAKHS,40,LAKHS,1,ACTIVE,,2024-08-25T06:57:24.000Z,2024-08-25T06:57:24.000Z,,,,,,,
59,pending,3,3,27,LAND,,38,,,,Malepatan area/Aarchalbot,,,,4,AANA,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T06:58:21.000Z,2024-08-25T06:58:21.000Z,,,,,,,
60,pending,3,3,362,LAND,,,,,,pokhara,,,,2,ROPANI,,,,,,,2,CRORE,2.5,CRORE,1,ACTIVE,,2024-08-25T06:59:26.000Z,2024-08-25T06:59:26.000Z,,,,,,,
61,pending,3,3,233,LAND,RESIDENTIAL,38,,,,Masbar/Malepatan/ Parsyang/Shantinagar,,,,8,AANA,,,,,,,2.5,CRORE,3,CRORE,1,ACTIVE,,2024-08-25T07:01:33.000Z,2024-08-25T07:01:33.000Z,,,,,,,
62,pending,3,3,138,LAND,,,,,,Mahatgauda,,,,0,HAAT,,,,,,,0,CRORE,0,CRORE,1,ACTIVE,,2024-08-25T07:02:48.000Z,2024-08-25T07:02:48.000Z,,,,,,,
63,pending,3,3,365,LAND,COMMERCIAL,,,,,newroad,,,,0,HAAT,,,,,,,0,CRORE,0,CRORE,1,ACTIVE,,2024-08-25T07:03:33.000Z,2024-08-25T07:03:33.000Z,,,,,,,
64,pending,3,3,366,LAND,,,,,,Mahatgauda/Budbajar,,,,20/40,HAAT,,,,,,,70,LAKHS,75,LAKHS,1,ACTIVE,,2024-08-25T07:04:24.000Z,2024-08-25T07:04:24.000Z,,,,,,,
65,pending,3,3,176,LAND,,38,,,,fulbari/CTEVT/Ranipauwa,,,,0,HAAT,,,,,,,110,CRORE,150,CRORE,1,ACTIVE,,2024-08-25T07:07:05.000Z,2024-08-25T07:07:05.000Z,,,,,,,
66,pending,3,3,368,LAND,,,,,,hemja/Lekhnath/Sishuwa,,,,20/40,HAAT,,,,,,,70,LAKHS,80,LAKHS,1,ACTIVE,,2024-08-25T07:08:54.000Z,2024-08-25T07:08:54.000Z,,,,,,,
67,pending,3,3,156,LAND,,,,,,chindanda,,,,20/40,HAAT,,,,,,,60,LAKHS,65,LAKHS,1,ACTIVE,,2024-08-25T07:09:36.000Z,2024-08-25T07:09:36.000Z,,,,,,,
68,pending,3,3,156,LAND,,,,,,chindanda,,,,20/40,HAAT,,,,,,,60,LAKHS,65,LAKHS,1,ACTIVE,,2024-08-25T07:09:37.000Z,2024-08-25T07:09:37.000Z,,,,,,,
69,pending,3,3,38,LAND,,,,,,birauta/Sangrilla Najik,,,,20/40,HAAT,,,,,,,120,LAKHS,130,LAKHS,1,ACTIVE,,2024-08-25T07:11:58.000Z,2024-08-25T07:11:58.000Z,,,,,,,
70,pending,3,3,371,LAND,,,,,,chauthe/Khasibajar,,,,20/40,HAAT,,,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-25T07:13:17.000Z,2024-08-25T07:13:17.000Z,,,,,,,
71,pending,3,3,372,LAND,,,,,,pokhara,,,,20/40,HAAT,,,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-25T07:14:14.000Z,2024-08-25T07:14:14.000Z,,,,,,,
72,pending,3,3,373,LAND,,,,,,pokhara,,,,0,HAAT,,,,,,,20,LAKHS,30,LAKHS,1,ACTIVE,,2024-08-25T07:15:01.000Z,2024-08-25T07:15:01.000Z,,,,,,,
73,pending,3,3,374,LAND,,,,,,chauthe,,,,16/38,HAAT,,,,,,,80,LAKHS,85,LAKHS,1,ACTIVE,,2024-08-25T07:15:41.000Z,2024-08-25T07:15:41.000Z,,,,,,,
74,pending,3,3,375,LAND,,,,,,chauthe,,,,20/40,HAAT,,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-25T07:16:37.000Z,2024-08-25T07:16:37.000Z,,,,,,,
75,pending,3,3,377,LAND,,,,,,birauta,,,,4,AANA,,,,,,,80,LAKHS,85,LAKHS,1,ACTIVE,,2024-08-25T07:17:18.000Z,2024-08-25T07:17:18.000Z,,,,,,,
76,pending,3,3,378,LAND,,,,,,birauta/Sangrilla Najik/chauthe,,,,4,AANA,,,,,,,70,LAKHS,80,LAKHS,1,ACTIVE,,2024-08-25T07:18:06.000Z,2024-08-25T07:18:06.000Z,,,,,,,
77,pending,3,3,380,LAND,,,,,,birauta,,,,20/40,HAAT,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T07:18:49.000Z,2024-08-25T07:18:49.000Z,,,,,,,
78,pending,3,3,125,LAND,,,,,,chauthe/Kajipokhari/Rambajar/Amarsingh/Khasibajar,,,,4,AANA,,,,,,,80,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-25T07:19:47.000Z,2024-08-25T07:19:47.000Z,,,,,,,
79,pending,3,3,382,LAND,,,,,,pokhara,,,,16/40,HAAT,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T07:20:41.000Z,2024-08-25T07:20:41.000Z,,,,,,,
80,pending,3,3,383,LAND,,,,,,pokhara,,,,20/40,HAAT,,,,,,,50,LAKHS,55,LAKHS,1,ACTIVE,,2024-08-25T07:21:18.000Z,2024-08-25T07:21:18.000Z,,,,,,,
81,pending,3,3,384,LAND,,,224,4,Pokhara,Fulbari /Parsyang/Ranipauwa/lamachaur,,,,4,ROPANI,,,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-25T07:22:01.000Z,2024-11-24T07:55:17.000Z,,,12,,,,
82,pending,3,3,385,LAND,,,,,,kathmandu,,,,0,HAAT,,,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-25T07:27:56.000Z,2024-08-25T07:27:56.000Z,,,,,,,
83,pending,3,3,386,LAND,,,,,,Lakeside/sedi/Masbar,,,,0,HAAT,,,,,,,3,CRORE,3,CRORE,1,ACTIVE,,2024-08-25T07:29:03.000Z,2024-08-25T07:29:03.000Z,,,,,,,
84,pending,3,3,60,LAND,,38,,,,nadipur/Aarchalbot/fulbari,,,,20/40,HAAT,,,,,,,170,LAKHS,180,LAKHS,1,ACTIVE,,2024-08-25T07:30:02.000Z,2024-08-25T07:30:02.000Z,,,,,,,
85,pending,3,3,166,LAND,,,,,,sishuwa/begnastal /NAharchowkvitra,,,,5,AANA,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T07:32:17.000Z,2024-08-25T07:32:17.000Z,,,,,,,
86,pending,3,3,388,HOUSE,RESIDENTIAL,38,224,4,Pokhara,fulbari/Chauthe/Khasibajar,,,WHOLE_HOUSE,18/40,HAAT,NO,,,,,,1,CRORE,1.3,CRORE,1,ACTIVE,,2024-08-25T07:39:24.000Z,2025-06-22T11:52:30.000Z,,,14,,,,
87,pending,3,3,389,LAND,,,,,,zero/Amarsingh/Mustangchowk/Rambajar,,,,20/40,HAAT,,,,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-25T07:40:26.000Z,2024-08-25T07:40:26.000Z,,,,,,,
88,pending,3,3,390,LAND,,,,,,pame,,,,0,AANA,,,,,,,80,LAKHS,85,LAKHS,1,ACTIVE,,2024-08-25T07:41:49.000Z,2024-08-25T07:41:49.000Z,,,,,,,
89,pending,3,3,125,LAND,,,,,,Nirajan Chowk,,,,0,HAAT,,,,,,,80,LAKHS,85,LAKHS,1,ACTIVE,,2024-08-25T07:42:46.000Z,2024-08-25T07:42:46.000Z,,,,,,,
90,pending,3,3,327,LAND,COMMERCIAL,70,,,,pokhara,,,,0,HAAT,,,,,,,2.5,CRORE,5,CRORE,1,ACTIVE,,2024-08-25T07:43:40.000Z,2024-08-25T07:44:03.000Z,,,,,,,
91,pending,3,3,55,LAND,,,,,,talchowk/Pokhara,,,,0,HAAT,,,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-25T07:45:06.000Z,2024-08-25T07:45:06.000Z,,,,,,,
93,pending,3,3,392,LAND,,,,,,Fulbari /Parsyang/Ranipauwa,,,,20/40,HAAT,,,,,,,1,CRORE,1.5,CRORE,1,ACTIVE,,2024-08-25T07:47:46.000Z,2024-08-25T07:47:46.000Z,,,,,,,
95,pending,3,3,395,LAND,,,,,,mustang chok to parsyang highway line,,,,20/50,HAAT,,,,,,,1,CRORE,1.15,CRORE,1,ACTIVE,,2024-08-25T07:53:28.000Z,2024-08-25T07:53:28.000Z,,,,,,,
96,pending,3,3,396,LAND,,,,,,ctevt/fulbari,,,,18/40,HAAT,,,,,,,0,LAKHS,0,CRORE,1,ACTIVE,,2024-08-25T07:55:48.000Z,2024-08-25T07:55:48.000Z,,,,,,,
97,pending,3,3,61,LAND,,,,,,malepatan/newroad/nayabajar,,,,20/40,HAAT,,,,,,,75,LAKHS,80,LAKHS,1,ACTIVE,,2024-08-25T07:56:33.000Z,2024-08-25T07:56:33.000Z,,,,,,,
98,pending,3,3,172,LAND,,,,,,miyapatan /Chapapani,,,,20/40,HAAT,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T07:57:19.000Z,2024-08-25T07:57:19.000Z,,,,,,,
99,pending,3,3,403,HOUSE,,38,,,,Fulbari /ranipauwa/Birauta/Kaukhola,,,1R,4,AANA,YES,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T08:53:40.000Z,2024-08-25T08:53:40.000Z,,,,,,,
100,pending,3,3,404,HOUSE,,,,,,Bajhapatan Miyapatan Kudhahar/Pokhara,,,1R,4,AANA,NO,,,,,,60,LAKHS,70,LAKHS,1,ACTIVE,,2024-08-25T08:56:00.000Z,2024-08-25T08:56:00.000Z,,,,,,,
101,pending,3,3,406,HOUSE,,,,,,Fulbari /ranipauwa,,,1R,20/40,HAAT,YES,,,,,,2,CRORE,2,CRORE,1,ACTIVE,,2024-08-25T09:49:06.000Z,2024-08-25T09:49:06.000Z,,,,,,,
102,pending,3,3,407,HOUSE,,,,,,birauta,,,1R,20/40,HAAT,NO,,,,,,1,CRORE,150,CRORE,1,ACTIVE,,2024-08-25T09:51:40.000Z,2024-08-25T09:51:40.000Z,,,,,,,
103,pending,3,3,407,LAND,,,,,,birauta,,,,20/40,HAAT,,,,,,,1,CRORE,1,CRORE,1,ACTIVE,,2024-08-25T09:52:13.000Z,2024-08-25T09:52:13.000Z,,,,,,,
104,pending,3,3,408,LAND,,,,,,Fulbari/Gharipatan/Ranipauwa,,,,20/40,HAAT,,,,,,,1,CRORE,150,CRORE,1,ACTIVE,,2024-08-25T09:53:58.000Z,2024-08-25T09:53:58.000Z,,,,,,,
105,pending,3,3,409,LAND,,,,,,bajhapatan /Sitaldevi/Chapapani/Bhadrakali/Dhikalethar,,,,5,HAAT,,,,,,,2.5,CRORE,3,CRORE,1,ACTIVE,,2024-08-25T09:56:42.000Z,2026-02-11T06:19:14.000Z,,,,,,,
106,pending,3,3,412,LAND,,,,,,Ratnachowk/Mustang chowk/birauta,,,,20/40,HAAT,,,,,,,60,LAKHS,1.5,CRORE,1,ACTIVE,,2024-08-25T10:06:01.000Z,2024-08-25T10:06:01.000Z,,,,,,,
107,pending,3,3,413,LAND,,70,,,,Fulbari /ranipauwa,,,,20/40,HAAT,,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-25T10:09:32.000Z,2024-08-27T08:45:29.000Z,,,,,,,
108,pending,3,3,152,LAND,,,,,,Adherikuna,,,,3,ROPANI,,,,,,,5,CRORE,6,CRORE,1,ACTIVE,,2024-08-25T10:11:30.000Z,2024-08-25T10:11:30.000Z,,,,,,,
109,pending,3,3,414,HOUSE,,,,,,hospital chowk around,,,1R,0,HAAT,YES,,,,,,2,CRORE,2.5,CRORE,1,ACTIVE,,2024-08-25T10:17:20.000Z,2024-08-25T10:17:20.000Z,,,,,,,
110,pending,3,3,415,LAND,,38,224,4,Pokhara,Chauthe/Bijayapur/Rambajar/Nayagaun,,,,4,AANA,YES,,,,,,65,LAKHS,90,LAKHS,1,ACTIVE,,2024-08-25T10:20:45.000Z,2025-11-11T07:06:50.000Z,,,11,,,,
111,pending,3,3,430,LAND,,38,,,,himal dekhini pokhara valley vitra,,,,0,HAAT,,,,,,,1,CRORE,1.5,CRORE,1,ACTIVE,,2024-08-26T09:27:20.000Z,2024-08-26T09:27:20.000Z,,,,,,,
112,pending,3,3,435,LAND,,38,,,,birauta,,,,20/40,HAAT,NO,,,,,,1,CRORE,1.4,CRORE,1,ACTIVE,,2024-08-27T11:54:31.000Z,2024-08-28T09:02:10.000Z,,,,,,,
113,pending,3,3,435,LAND,,,,,,birauta,,,,20/40,HAAT,,,,,,,1,CRORE,1.4,CRORE,1,ACTIVE,,2024-08-27T11:54:31.000Z,2024-08-27T11:54:31.000Z,,,,,,,
114,pending,3,3,433,HOUSE,,,,,,Parsyang Malepatan Archalbot,,,WHOLE_HOUSE,20/40,HAAT,YES,1,1,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-27T11:57:50.000Z,2024-08-27T11:57:50.000Z,,,,,,,
115,pending,3,3,441,HOUSE,,38,,,,Fulbari /ranipauwa,,,WHOLE_HOUSE,4-5,AANA,YES,,,,,,2,CRORE,2.5,CRORE,1,ACTIVE,,2024-08-28T09:03:07.000Z,2024-08-28T09:03:07.000Z,,,,,,,
